Profundidad,Densidad Aparente,Gamma Ray,Porosidad Neutrón,Resistividad Profunda,Resistividad Media
3631.1312,2.2003,29.2904,22.9693,0.4783,0.5841
3631.2836,2.2087,29.632,27.2995,0.4679,0.5795
3631.436,2.2125,32.5576,41.9166,0.4631,0.6035
3631.5884,2.2176,32.7164,29.0291,0.4607,0.5331
3631.7408,2.2188,36.698,33.2508,0.4647,0.5538
3631.8932,2.2138,42.418,37.8433,0.4723,0.5784
3632.0456,2.1721,38.7287,33.5164,0.4737,0.59
3632.198,2.1299,37.0974,31.321,0.5056,0.5864
3632.3504,2.1452,34.3401,30.8668,0.5136,0.5841
3632.5028,2.1645,35.5486,34.0086,0.5149,0.5903
3632.6552,2.1762,36.29,27.2987,0.5124,0.5914
3632.8076,2.1869,40.9977,26.0222,0.5135,0.5889
3632.96,2.2042,39.0245,33.5815,0.5095,0.5828
3633.1124,2.2258,43.8816,36.7006,0.5015,0.584
3633.2648,2.2396,44.8456,38.3221,0.5089,0.5988
3633.4172,2.2679,42.9979,34.398,0.517,0.62
3633.5696,2.2997,48.6295,33.3403,0.5395,0.6377
3633.722,2.306,49.5273,27.493,0.581,0.6587
3633.8744,2.291,63.5862,35.5852,0.6389,0.6942
3634.0268,2.268,65.6936,56.7031,0.7024,0.7224
3634.1792,2.2557,69.5105,52.9758,0.7166,0.7697
3634.3316,2.2567,64.0403,91.1947,0.7454,0.7731
3634.484,2.2555,61.5406,49.1988,0.7698,0.7692
3634.6364,2.2543,64.2661,58.8079,0.7742,0.7519
3634.7888,2.2491,60.5636,32.755,0.7768,0.803
3634.9412,2.2381,47.7242,35.6853,0.7802,0.8305
3635.0936,2.2262,39.4148,31.743,0.789,0.8681
3635.246,2.2189,42.9497,28.0362,0.8052,0.8646
3635.3984,2.2218,37.1537,27.3098,0.8171,0.8358
3635.5508,2.2228,31.3526,27.3441,0.8006,0.8289
3635.7032,2.216,31.8493,27.1308,0.7869,0.8278
3635.8556,2.2125,31.5393,33.593,0.7742,0.8269
3636.008,2.2169,32.469,24.6472,0.7636,0.8257
3636.1604,2.2246,32.3378,31.6348,0.7526,0.8142
3636.3128,2.2277,32.0426,28.4125,0.724,0.7991
