ID,AT,AZ,DIP
DH029,356.0,279.5,71.5
DH029,386.0,280.5,71.0
DH029,388.299988,280.5,71.0
DH030,0.0,273.5,72.0
DH030,31.0,273.5,72.0
DH030,590.700012,273.5,72.0
DH031,0.0,271.5,52.0
DH031,31.0,271.5,52.0
DH031,375.25,271.5,52.0
DH032,0.0,272.5,71.0
DH032,31.0,272.5,71.0
DH032,200.149994,272.5,71.0
DH033,0.0,90.0,50.0
DH033,326.25,90.0,50.0
DH034,0.0,270.0,70.0
DH034,410.0,270.0,70.0
DH035,0.0,270.0,70.0
DH035,98.199997,270.0,70.0
DH035,147.199997,272.5,71.0
DH035,196.199997,275.0,72.0
DH035,248.199997,275.0,71.0
DH035,250.100006,275.0,71.0
DH036,0.0,90.0,60.0
DH036,32.0,86.5,61.0
DH036,42.5,87.25,61.0
DH036,53.0,88.0,61.0
DH036,63.5,88.75,61.0
DH036,74.0,89.5,61.0
DH036,89.0,88.5,61.0
DH036,104.0,87.5,61.0
DH036,111.5,88.25,62.0
DH036,119.0,89.0,63.0
DH036,126.5,89.75,64.0
DH036,134.0,90.5,65.0
DH036,141.5,91.75,65.75
DH036,149.0,93.0,66.5
DH036,156.5,94.25,67.25
DH036,164.0,95.5,68.0
DH036,191.0,94.5,67.5
DH036,218.0,93.5,67.0
DH036,231.5,92.0,67.0
DH036,245.0,90.5,67.0
DH036,258.5,89.0,67.0
DH036,272.0,87.5,67.0
DH036,326.0,86.5,60.0
DH036,419.649994,89.0,67.0
DH037,0.0,90.0,70.0
DH037,42.200001,94.5,70.0
DH037,102.199997,94.5,70.0
DH037,165.199997,94.5,70.0
DH037,195.199997,95.5,70.0
DH037,200.0,95.5,70.0
DH038,0.0,273.0,71.0
DH038,100.0,273.0,71.0
DH038,174.0,274.0,71.0
DH038,249.0,275.0,71.0
DH038,254.630005,277.75,71.0
DH038,260.25,280.5,71.0
DH038,271.5,283.25,71.0
DH038,275.25,284.630005,71.0
DH038,279.0,286.0,71.0
DH038,309.0,286.0,69.0
DH038,339.0,288.0,69.0
DH038,354.0,290.0,69.0
DH038,369.0,292.0,69.0
DH038,399.0,294.0,69.0
DH038,401.399994,294.0,69.0
DH039,0.0,271.5,69.0
DH039,24.0,271.5,69.0
DH039,119.050003,271.5,69.0
DH040,0.0,275.5,71.0
DH040,29.0,275.5,71.0
DH040,65.0,275.5,71.0
DH040,116.0,275.5,71.0
DH040,167.0,275.5,71.0
DH040,179.75,276.75,71.0
DH040,192.5,278.0,71.0
DH040,205.25,279.25,71.0
DH040,218.0,280.5,71.0
DH040,243.5,279.0,71.5
DH040,269.0,277.5,72.0
DH040,320.0,277.5,71.0
DH040,371.0,276.5,71.0
DH040,386.0,277.5,71.0
DH040,401.0,278.5,71.0
DH040,431.0,277.5,71.0
DH040,446.0,279.0,71.0
DH040,461.0,280.5,71.0
DH040,476.0,281.5,71.0
DH040,491.0,282.5,71.0
DH040,500.0,282.5,71.0
DH041,0.0,90.0,60.0
DH041,12.5,89.0,60.0
DH041,25.0,88.0,60.0
DH041,37.5,87.0,60.0
DH041,50.0,85.5,60.0
DH041,86.5,86.5,60.0
DH041,123.0,87.5,60.0
DH041,174.0,86.5,60.0
DH041,186.5,85.5,62.0
DH041,199.0,84.5,64.0
DH041,211.5,83.5,66.0
DH041,225.0,81.5,67.0
DH041,234.300003,80.5,67.0
DH041,243.600006,79.5,67.0
DH041,252.899994,78.5,66.0
DH041,262.200012,77.5,66.0
DH041,272.200012,76.5,66.0
DH041,282.200012,75.5,65.0
DH041,292.200012,74.5,65.0
DH041,302.200012,73.5,64.0
DH041,318.700012,72.5,64.0
DH041,335.200012,71.5,64.5
DH041,340.200012,70.5,63.0
DH041,345.200012,69.5,62.0
DH041,350.200012,68.5,61.0
DH041,355.200012,67.5,60.0
DH041,360.200012,66.5,59.0
DH041,365.200012,65.5,57.0
DH041,395.200012,64.5,53.0
DH041,400.0,90.0,53.0
DH043,0.0,270.0,70.0
DH043,347.899994,270.0,70.0
DH044,0.0,270.0,70.0
DH044,440.149994,270.0,70.0
DH045,0.0,271.5,70.0
DH045,30.0,271.5,70.0
DH045,79.0,271.5,71.0
DH045,121.0,272.5,70.0
DH045,172.0,272.5,70.0
DH045,172.949997,272.5,70.0
DH046,0.0,90.0,45.0
DH046,314.350006,90.0,45.0
DH047,0.0,88.5,60.0
DH047,38.0,88.5,60.0
DH047,71.0,87.5,61.0
DH047,75.5,86.5,60.5
DH047,80.0,85.5,60.0
DH047,194.25,84.5,60.0
DH048,0.0,271.5,72.0
DH048,78.0,271.5,72.0
DH048,95.0,272.5,71.5
DH048,112.0,273.5,71.0
DH048,137.5,272.5,71.0
DH048,163.0,271.5,71.0
DH048,214.0,271.5,72.0
DH048,265.0,271.5,71.0
DH048,290.5,270.5,72.0
DH048,316.0,269.5,73.0
DH048,341.5,271.0,71.0
DH048,367.0,272.5,72.0
DH048,418.0,272.5,70.0
DH048,448.0,273.5,70.0
DH048,450.200012,273.5,70.0
DH049,0.0,267.5,71.0
DH049,84.550003,267.5,71.0
DH049,126.550003,268.5,72.0
DH049,152.050003,267.0,70.0
DH049,177.550003,265.5,69.0
DH049,203.050003,266.75,70.0
DH049,228.550003,268.5,72.0
DH049,254.050003,269.5,70.0
