Ca,Fe,Mg
7.436,5.885579999999999,3.26826
7.579,5.438219999999999,3.59388
8.5085,4.585439999999999,1.79091
7.7935,3.94935,1.24218
10.94665,1.90827,1.33263
11.3113,2.75406,2.51451
4.3758,6.081299999999999,1.71855
9.9385,2.7261,2.14668
6.84255,4.04022,2.10447
10.0815,1.4679,1.9899
8.3083,0.75492,0.26532
7.51465,3.3551999999999995,1.36278
6.9265168014831575,3.547595190077113,0.3584091877696801
6.427505820320793,1.8685983280355745,0.0544934777869893
6.414152979906737,4.9386926122388815,0.2956471270154144
6.293163015883165,2.302506836216887,0.219279744247599
5.7660110283346215,6.5124977624289295,0.5989770118920674
6.424921034457426,1.0738656437835792,0.0536389442573011
6.864839997740954,3.206868341840184,0.2883298597424686
7.37104888709375,3.2585675545807025,0.3331525574217408
7.249222503815935,2.010871638244113,0.2545702988607473
6.467174678257464,3.00105713745006,0.2020745586249776
6.924960046436152,2.9421559193134903,0.1518881398374841
6.781970711446651,3.880156883458549,0.2167437522925495
11.39152318535574,4.005521935569095,0.1164956685098075
6.891394754557062,3.102303115170632,0.2682239878267548
9.742678333253291,2.5877722605946203,0.4912736918646351
7.758805513091347,3.214918860043217,0.4105257725216854
7.546637612397097,1.1756232631447776,0.2664866938572029
7.672047499765362,5.144824077769914,0.8361133590183552
7.092786875394555,5.136788655944841,0.8676285477439265
7.473382076263746,2.021786405428593,0.2081691026303622
8.028589202178617,3.856524414780996,0.6937826224426632
7.804463017905125,6.1184167512669125,0.9130748423492502
8.46378501576222,2.169766041794268,0.4835427736389262
8.762797109753258,1.594046860219664,0.6492834134066696
11.282699999999998,0.54522,0.50652
8.3941,3.97731,2.80395
12.854592928609502,1.089478993712785,0.8908487631260791
10.76999164164359,0.9067444312218113,0.771131228781219
10.892702506094697,0.8850146096044275,0.838891631765597
10.944920912800017,0.7769346812621202,0.693889664712246
10.830675939203836,1.0519169825064083,1.06072518841941
11.040261323255306,0.847086488415612,0.6131510999143867
10.804547786030428,1.1518967342724649,0.6130236386770717
10.47475,3.76761,2.65923
5.59845,1.2092699999999998,2.0502
5.748599999999999,2.61426,2.81601
8.365499999999999,2.22981,1.93563
8.151,0.2865899999999999,0.13266
8.008,2.43252,1.6281
8.866,0.99258,0.22311
9.295,0.46833,0.16884
8.722999999999999,0.6291,0.3738599999999999
5.14085,4.17303,1.1457
8.651499999999999,1.66362,0.77787
8.293999999999999,2.8099799999999995,1.74267
8.487049999999998,1.08345,0.29547
