Nombre,SiO2,Al2O3,CaO,Na2O,K2O,FeOT,MgO,MnO,TiO2
andesite,61.8,17.25,5.16,4.14,2.25,4.9,2.38,0.1,0.62
andesite,59.7,17.6,5.75,4.15,2.03,5.89,2.64,0.11,0.7
andesite,60.4,17.5,5.48,4.28,2.32,5.47,2.73,0.09,0.79
andesite,58.8,17.5,6.04,4.4,2.0,5.84,3.14,0.09,0.86
andesite,57.5,17.3,6.3,4.55,2.4,6.22,3.63,0.1,0.87
andesite,58.43,17.5,5.83,4.17,2.2,5.93,2.96,0.1,0.79
andesite,57.7,17.0,5.95,4.07,2.08,5.96,3.33,0.1,0.89
andesite,62.86,14.91,3.61,3.6,2.87,4.85,2.26,0.1,0.62
andesite,61.0,17.2,5.17,4.39,2.57,5.4,2.64,0.09,0.79
andesite,62.6,16.2,4.55,3.85,2.58,4.55,2.32,0.09,0.61
andesite,59.6,17.05,5.41,4.24,2.55,5.8,3.12,0.09,0.87
andesite,58.0,17.6,6.12,4.22,2.06,5.88,3.09,0.1,0.79
andesite,59.7,17.25,4.89,4.09,2.33,4.91,2.14,0.1,0.66
andesite,59.5,17.0,5.9,4.21,1.99,5.8,3.0,0.09,0.82
andesite,59.8,17.05,5.12,4.38,2.54,5.79,3.05,0.09,0.87
andesite,58.42,15.86,7.87,3.6,0.71,7.09,4.01,0.06,0.87
andesite,58.11,16.04,8.29,3.65,0.67,6.96,4.51,0.12,0.8
andesite,53.14,16.4,10.55,3.1,0.29,8.02,5.18,0.1,0.99
andesite,52.2192803630545,18.5095032570956,6.74335425004793,3.43012818794111,1.11106977716007,9.06,4.98882319906495,0.213820982295193,1.37584809635739
andesite,52.9366438521625,18.1399189171917,7.54539929633778,3.10405043190176,0.796985921704506,8.74,5.68976039592804,0.138823362301913,1.10359579383895
andesite,52.9461500832285,17.0907869776403,6.8233030026085,3.66893004560948,0.810279553329123,8.58,6.29691701540929,0.144904007712142,1.4756550989461
andesite,53.2965913017695,16.5047445032818,7.41310623976808,3.76463721923946,1.06914121864384,8.69,4.77372538600736,0.154562772861034,1.31624475996944
andesite,53.5528050446126,18.0532568518081,9.13522764720127,3.53666505156006,0.17356039933343,8.41,4.13668814639849,0.101160918468628,1.05028835939487
andesite,55.7417284475601,16.5594935929518,6.45214119320106,2.74068104794622,0.823368085529491,9.18,3.43118526101689,0.169716625403605,1.06969964468672
andesite,56.3564811262772,16.0634107477777,8.89071393170248,3.12357787689192,1.27545275250809,6.61,4.23836695192025,0.174463011741833,1.17097207880959
andesite,57.3111067175193,14.9629838857457,4.7118519194174,4.15372822964587,0.98940108641318,10.15,3.28044028848236,0.15904573677056,1.49971348108191
andesite,58.814989570558,18.95680964659,1.96388065692608,2.28459309081662,3.97702738050402,7.71,1.42968193421082,0.0483000653449602,1.3350138061347
andesite,59.6829481122765,17.1099990701942,10.3300377679302,0.811087831465718,1.99926881644285,5.66,0.488002904544178,0.12826953815094,0.875704816850026
andesite,60.48,17.2,7.03,3.14,0.89,7.12,2.7,0.2,0.72
andesite,60.23,17.25,7.59,2.53,0.59,7.4,2.92,0.17,0.57
andesite,62.58,17.06,6.85,3.06,0.9,5.54,2.22,0.14,0.39
andesite,61.06,16.99,7.21,2.38,0.66,6.96,2.83,0.16,0.52
andesite,54.41,19.36,7.6,3.1,2.64,6.92,2.72,0.14,0.81
andesite,61.33,17.95,6.58,2.93,0.53,5.97,2.54,0.15,0.49
andesite,60.13,18.99,6.0,2.68,0.58,5.85,2.0,0.12,0.5
andesite,59.42,15.74,6.95,3.4,0.57,9.19,2.74,0.23,1.01
andesite,57.99,15.85,7.29,3.43,0.47,9.27,2.88,0.21,1.1
andesite,58.13,16.32,7.34,3.44,0.46,9.31,2.82,0.21,1.07
andesite,58.51,15.99,7.26,3.46,0.48,9.21,2.83,0.21,1.1
andesite,60.25,17.98,6.3,3.32,1.94,5.4,2.4,0.13,0.46
andesite,56.08,17.36,8.79,2.37,0.81,8.26,4.75,0.15,0.6
andesite,60.36,15.49,6.67,2.66,1.19,7.75,3.55,0.14,0.78
andesite,59.14,16.71,7.76,2.48,0.78,7.77,3.72,0.15,0.69
andesite,58.4,16.54,7.74,2.78,1.14,7.6,4.27,0.15,0.83
andesite,54.16,16.45,5.95,3.46,0.27,7.32,4.94,0.11,1.05
andesite,61.81,15.3,3.39,3.79,1.95,6.12,1.81,0.1,0.78
andesite,54.54,16.64,4.93,3.09,0.7,7.46,4.63,0.12,1.05
andesite,53.49,16.35,6.4,2.39,1.5,7.4,3.4,0.12,0.99
andesite,52.99,16.79,6.01,2.46,1.01,7.55,4.39,0.12,1.0
andesite,53.61,16.47,6.76,2.49,1.19,7.24,4.1,0.12,1.02
andesite,54.74,16.52,6.37,3.19,0.59,6.81,4.23,0.12,1.02
andesite,54.02,16.76,5.93,2.82,0.69,7.32,4.48,0.11,1.03
andesite,57.41,15.96,4.82,2.35,2.96,7.25,4.04,0.14,1.27
andesite,65.2,16.12,1.52,3.12,3.45,4.5,1.85,0.05,0.84
andesite,56.94,14.19,10.11,1.45,0.42,5.39,3.12,0.32,0.17
andesite,54.38,13.65,5.35,3.81,0.22,7.97,3.85,0.22,0.53
andesite,57.74,17.02,3.33,5.69,2.44,5.98,2.26,0.15,0.87
andesite,56.79,16.79,5.22,3.78,2.59,6.82,3.17,0.17,0.94
andesite,59.26,16.36,5.56,3.38,2.82,6.21,2.37,0.15,0.88
andesite,59.32,16.44,4.8,3.71,3.23,6.25,2.61,0.16,0.9
andesite,55.56,15.94,4.69,4.55,2.73,7.78,3.87,0.17,1.14
andesite,58.14,15.99,2.36,5.75,2.6,7.12,2.47,0.09,1.37
andesite,59.21,18.01,2.98,4.85,2.85,5.61,3.13,0.13,0.83
andesite,56.22,17.53,6.38,4.38,1.33,6.42,4.28,0.128,0.92
andesite,55.28,18.55,7.17,3.97,0.88,6.96,5.98,0.134,0.8
andesite,56.172437524883,17.1689183917221,8.1859958906768,3.06407663267572,1.24035939572542,7.51,4.7471085689592,0.134563329392064,0.794165721362278
andesite,56.0585078635883,16.714082737819,8.07099071042999,3.16396257822108,1.36681800010128,7.48,5.33111719811779,0.13390065187148,0.730406492282571
andesite,61.4542734855127,15.7107929709699,6.02926292327972,3.25156681513535,2.22713090281819,5.76,3.94414320656103,0.103054770967694,0.71720482032524
andesite,56.8378813358211,17.1879128001574,7.66327603420576,3.15229119947426,1.38449098085881,7.35,4.52824658892291,0.131323734821743,0.800981502741519
andesite,58.459603936545,16.433202175907,7.13440463976696,3.08446062338608,1.57199679647344,6.84,4.72100653771327,0.124182210134962,0.728933453734242
andesite,58.9016188993999,16.4868516572527,6.98438821983947,3.15870397757573,1.61463680471832,6.57,4.58665321984148,0.118244189669565,0.709737218562907
andesite,58.2973098434642,17.0379238599672,7.08875864233189,3.19041932462606,1.53169520367676,6.92,4.14650244524357,0.124283437296518,0.755340084724301
andesite,58.3071577545799,17.0235074394834,7.08526295242847,3.15807725602313,1.54058772667321,6.95,4.13651330742749,0.122550632377939,0.758670690809245
andesite,58.2319066194725,16.9742163713019,7.13301726720736,3.18058476749969,1.52123258763207,6.99,4.15921542531169,0.122241008199753,0.762382811382596
andesite,58.7087905279506,17.2818185731224,6.94898025629621,3.28615241739193,1.5929792405107,6.66,3.78417226775119,0.118785901531213,0.736354194896169
andesite,58.626180220193,17.1830091667839,6.97240454027497,3.30832734597023,1.58080313768998,6.73,3.84487201501513,0.118347833993883,0.743394716489487
andesite,58.2752707761847,17.1967779894243,7.21238481056755,3.22635502234625,1.56222077250899,6.73,4.02739254056501,0.120427658477016,0.751247343929023
andesite,58.76274203085,17.2378120782768,6.87941705956964,3.24416269773818,1.62524654200146,6.68,3.81798416662218,0.119656320124428,0.752043878391277
andesite,59.0255502999149,17.8732097247414,6.93435429384414,3.72171650762944,1.59101937255268,6.24,2.91730976288459,0.105286049734205,0.751235629917775
andesite,59.1015659258257,16.515395554153,6.82699288819867,3.34191389510383,1.63505554605571,6.35,4.57813951048349,0.113691108586422,0.684599480120475
andesite,59.0446907603459,16.6995880370872,6.91172129198947,3.37703199474163,1.62550597145621,6.22,4.51101285709923,0.112916042321659,0.661747490028278
andesite,58.8583328750032,17.0610421198343,6.7984662964165,3.501420621955,1.61021953308348,6.27,4.23840540599891,0.111641162357457,0.699542737623021
andesite,57.3016350515096,16.7122623030195,7.67410604916511,3.21001788494943,1.38696352006755,6.82,5.19888967138936,0.123420808421252,0.68308202637863
andesite,57.8194405998327,16.7686940567355,7.50408472647073,3.15150013141077,1.22253989541102,7.04,4.73447529127722,0.124925175805628,0.721020427129979
andesite,57.8440918400801,16.8325838797906,7.47415606528581,3.24968562232678,1.38256678227842,6.41,5.15421250973853,0.1230517271509,0.688674698552478
andesite,57.8661265194528,16.4937637728549,7.6512908273452,3.07900185407728,1.36460569792493,6.89,4.93624342868382,0.125908894156467,0.698134380571737
andesite,57.7398294749799,16.6982513083993,7.50221362874287,3.07838098368234,1.47891029180644,7.09,4.59181006434495,0.12877200635378,0.765221564158782
andesite,61.2203385816309,16.0936966236973,6.16717452974662,3.39580162952395,1.89512343059871,5.57,4.17122445514273,0.101880371249183,0.626867355208845
andesite,60.330954079655,17.4294911355813,6.21631853964009,3.36929968243624,1.75044279960098,6.01,3.30234806175359,0.109756919671698,0.665714189409887
andesite,59.6104583841906,17.2754779378836,6.55211379498283,3.32510178483427,1.74359620067547,6.43,3.34651907313447,0.115982699088405,0.742717017476427
andesite,59.7165526236952,17.1810551220146,6.50348942649955,3.28724548110148,1.76983261827635,6.45,3.36938214795273,0.114597383103484,0.741531396095207
andesite,59.6517980007919,17.2714899351301,6.54483601317721,3.31673917537797,1.75722872055788,6.4,3.34923669376295,0.114061684214426,0.73902320228704
andesite,59.56114279996,17.2807165015511,6.58264785349745,3.31395977184029,1.74775342739918,6.42,3.38549984989493,0.116431502051436,0.736725707995597
andesite,60.0234914771958,17.5004988053737,6.44503666094168,3.36895655931573,1.66878721614465,6.15,3.24882216761264,0.112454292884479,0.660749180605645
andesite,59.6065775698223,17.3112030080771,6.64189702950984,3.30582244005108,1.73472748081171,6.38,3.30889280745365,0.114506643131197,0.738894952697277
andesite,59.6832078555728,17.314946953135,6.56165968214354,3.28181383599275,1.75209332368483,6.39,3.293872794157,0.114856305113129,0.752876603723457
andesite,59.7808588995944,17.160028188266,6.50457477583488,3.30888157056705,1.78249860131878,6.37,3.38220075092481,0.113539414726383,0.739029254052063
andesite,58.0628345924446,16.9011412930146,7.50722701230669,3.32152857331342,1.61713344684333,6.32,4.54496723997091,0.111156420699428,0.747717907622492
andesite,57.210809007029,17.1991335496806,7.61425610822992,3.29692628572851,1.61344583874428,6.56,4.72147716903005,0.11639185647933,0.76395253928603
andesite,58.4225770981592,17.1304299549925,7.07148962350109,3.25196026955955,1.60376302434018,6.79,3.98289816512865,0.122068160079671,0.737547611872219
andesite,58.5104681313712,17.0850291128868,7.1607899686822,3.21704013906194,1.57039008542239,6.76,3.95783121421023,0.120067606681772,0.730297687485869
andesite,58.6650821047693,16.7648058131475,7.17983720488919,3.41994564771484,1.71174966740811,5.94,4.65982003041271,0.105070346393888,0.74274073839175
andesite,58.0419551513065,17.1848879669882,7.3492643496754,3.42770817649478,1.74341459549037,6.11,4.4061891959169,0.104127189224247,0.794151294345928
andesite,58.6094856607865,16.9741558475412,7.18380406612215,3.25037685622854,1.53855618995531,6.54,4.21496700254553,0.113618669736715,0.717297753324639
andesite,58.3250658386385,16.9092794494004,7.01909548382948,3.17686141829243,1.68950364883228,6.86,4.20653134918803,0.121656121834009,0.763861420996789
andesite,58.5371780527629,16.8875461064674,7.09648561382452,3.21782642421302,1.64370254684864,6.66,4.19524961734226,0.119595508021049,0.750841128804432
andesite,58.3623368182173,17.0079981331657,6.99400987346579,3.20096293136175,1.69628769724011,6.79,4.15698564651185,0.119676555362804,0.754032285075354
andesite,58.652750069814,17.2354249413864,7.02253737310422,3.24129936454171,1.60229713250199,6.63,3.89026842738638,0.118703930278392,0.731259203899138
andesite,58.3776950237877,16.8517133525315,7.06125990723374,3.19385229615738,1.68062334397589,6.82,4.20976308773715,0.120668317448595,0.761873277929322
andesite,58.4358253101439,16.9460451963287,7.04314285857037,3.13962098236814,1.59886884271218,6.86,4.16853444184083,0.126385842547302,0.774373092046425
andesite,59.6308943573824,17.0389751766837,6.60797155490208,3.37371504511196,1.76828575568904,6.5,3.37199832165036,0.114404471155764,0.737171152784854
andesite,59.2867217734322,17.4164841722021,6.63993110139827,3.38275576233213,1.78859720064093,6.48,3.30978826603503,0.117250800401034,0.725737323071238
andesite,59.5172777125553,17.4519314682736,6.57969973283021,3.36709815907879,1.7448087370815,6.36,3.2841439410751,0.114439684655537,0.737534761229858
andesite,60.0839473667007,15.9138641887091,6.50659977964696,3.25221371328057,1.76347801774792,5.93,4.95283429220261,0.104192490597784,0.695414474408725
andesite,57.3705738092619,17.2055527081801,7.46727919735027,3.20373659956023,1.46148226488871,7.13,4.30988371593873,0.12331010154515,0.790773944591516
andesite,57.7799966900537,17.1034291908126,7.32646671871073,3.06998024382065,1.41960925149091,7.1,4.37227430592365,0.120239276763664,0.772692601144534
andesite,59.4615207618846,16.7374750798725,6.48591501585883,3.50263597735232,2.02996281293195,6.25,3.74602290049216,0.111546745739102,0.817913079256126
andesite,59.2274078885953,17.0533532596798,6.87435102984093,3.29186184837036,1.66126423386765,6.41,3.78812247846306,0.11142735027192,0.722752395668156
andesite,58.7723637641031,16.822550408442,7.02961310407424,3.25054052260415,1.56496824725971,6.65,4.20176050944099,0.120414414801013,0.708544922630295
andesite,59.2142948191436,17.1949624722727,6.71304399534767,3.27323586634402,1.69287361411184,6.48,3.72488847553584,0.113646419811321,0.730264129989647
andesite,58.5157679133809,16.9524717085388,7.32862323576846,3.50320105924065,1.46134790136744,6.17,4.4923095183294,0.106451359377544,0.656311375689593
andesite,59.0505782780305,16.3868956002767,6.87870751190619,3.16927485689684,1.60701341537436,6.35,4.87317064639928,0.116895496133842,0.714086270801808
andesite,59.8733772104237,16.5682065744995,6.44816832604701,3.74951267927165,1.82218165879304,6.09,3.72031193865709,0.107562221757447,0.79824598420511
andesite,58.851427707216,16.4670830436626,6.90267425072399,3.23806058554068,1.62297168655148,6.43,4.81741618671255,0.115794739432752,0.705088269168512
andesite,59.3108026825135,16.9216984593268,6.85743094674157,3.32005720432577,1.70131455141276,6.4,3.78629741756912,0.115277198884865,0.733632998809491
andesite,59.359367618814,17.0556898733362,6.78915529238749,3.2604307942994,1.71587898553454,6.4,3.72996974928054,0.113688682806577,0.722469053273252
andesite,59.0351283645251,16.3934204508625,6.84507943918445,3.20694161769708,1.61212679212165,6.43,4.81966951976825,0.118568937543173,0.68905233513683
andesite,60.7812408096825,17.194123093303,6.20603887025986,3.65864084166912,1.92583772652282,5.6,2.88801514420022,0.0942382313427659,0.861748862129836
andesite,60.9318992470056,17.5330473980857,6.16902778246197,3.8463351407027,1.88145019349517,5.53,2.45941875489567,0.0936526838479344,0.786260216554067
andesite,60.9547627665649,17.1517986887901,5.99913286719178,3.80054100020751,1.96341493869443,5.79,2.62757488347715,0.0969431612797821,0.802634414862371
andesite,60.8688954044948,17.2765712726709,6.02416173803682,3.74540916794216,1.97012444233748,5.78,2.64462778254053,0.099078390495895,0.781072851502696
andesite,60.7058426071695,17.2308565565884,6.21780536372733,3.76309929776878,1.91869286412402,5.72,2.77424718330199,0.100076284943345,0.774268072280687
andesite,60.3470848574103,17.4235194789434,6.46377904200606,3.67029281281832,1.86232415279182,5.73,2.84288477449961,0.0968464865548582,0.770589153816895
andesite,60.2945516445409,17.752166578595,6.35170779921915,3.72461057644658,1.80984037498474,5.68,2.7267740042228,0.0951093545842699,0.776230666954223
andesite,60.8305573745075,17.5606855745504,6.21165745051349,3.81470114589451,1.89367370590177,5.53,2.49390942600238,0.0947841028211199,0.788116911305517
andesite,60.5681999867957,17.3145805277438,6.26171785202078,3.62186526329521,1.92839949950802,5.64,2.90166231427428,0.0928578871633989,0.877322590626673
andesite,61.3749713832298,17.2540046498007,5.91401264851255,3.68250387649861,2.07098517201825,5.42,2.52031341206591,0.0893162859287795,0.893432546127437
andesite,60.7863503119006,17.9940434987638,6.27010478044326,3.79018212976148,1.93935323315404,5.27,2.31694453113728,0.0908876334729036,0.784118088585306
andesite,60.0612430623172,18.0214107650391,6.53622099116814,3.66325058161204,1.83467113937943,5.41,2.85350498648924,0.093886156683252,0.758731382563182
andesite,60.5198699572286,17.6066913205494,6.13959404005559,3.64099006591155,1.77720780382777,5.78,2.94477271864858,0.102678731748278,0.714112114839035
andesite,62.8374665263725,17.3674793423461,5.72501009818931,3.71906588008837,1.74930559364886,4.71,2.67874792426109,0.0965237294981823,0.476215647456004
andesite,61.9344598234465,16.8960991360607,5.7442665243916,3.77270503659915,2.11782288523148,5.22,2.63983282480334,0.0898265470848273,0.823300664344657
andesite,60.8926642108689,17.1833004551389,6.1144049256641,3.66856901568151,1.99084686255296,5.55,2.84991646310763,0.0930741166726767,0.876365499208495
andesite,60.7962281022704,17.3055783740486,6.10820099799158,3.5976967030318,1.95924520138982,5.61,2.87512014422995,0.0916752982265898,0.864040683557684
andesite,62.5902612330366,16.905737274763,5.03712608273996,4.0050007906823,2.10156559094556,5.57,2.09732729389331,0.0922529327716124,0.811953756980445
andesite,60.4542900464594,18.1095602321708,6.34094327763271,3.77375895167016,1.92650240407537,5.31,2.4336457731294,0.0909495510539046,0.793723286517886
andesite,59.8067622772567,18.3197203196318,6.55409470412468,3.59801992650725,1.78586564215224,5.46,2.84489488441858,0.0944305040604104,0.766056704682244
andesite,61.0456101661868,15.9703558579553,6.34158190059082,3.3466356023621,1.8305950987186,5.56,4.35805622607115,0.100979998177278,0.681289858913116
andesite,62.5318967719699,16.2663180219131,5.544759600729,3.7842092534568,2.05646973714923,5.16,3.0941285664977,0.095794385726777,0.722480254068779
andesite,61.7902014339365,16.2260458297351,5.83382202317595,3.36450906753961,2.01523306488864,5.41,3.81521499005884,0.0951539373004237,0.696654148173438
andesite,61.9782426905902,16.1045479745943,5.88828563433862,3.41731391410367,2.04736538477751,5.3,3.75062275862097,0.0948038345471355,0.681722471058033
andesite,62.4986601249069,16.2137747066211,5.58864278334517,3.64264873214038,2.0416343603724,5.15,3.33989450941956,0.094589426741635,0.675967610002119
andesite,62.117218447628,16.1197818808864,5.82304460616175,3.41384588381325,2.06314224130896,5.28,3.65348814459678,0.0944291034281539,0.696478468292057
andesite,62.1617212555974,16.4024731850509,5.71234738395906,3.40604398283012,2.05328864241753,5.22,3.53159732461892,0.0914077878236435,0.693320578200711
andesite,62.4806801622477,16.0306722353914,5.64432146210813,3.66418678352166,2.05833366486851,5.17,3.41873413004402,0.0947724132609007,0.684858385164444
andesite,62.2611190961493,16.2006720786863,5.59392825484903,3.56405030073268,2.02649252049539,5.25,3.57709123142644,0.101172381672584,0.669955278221546
andesite,61.7564892574527,16.248537044825,5.9287524618013,3.43665400322144,1.9982049925818,5.35,3.73527229792016,0.0969991686503673,0.705948447877575
andesite,58.2892875806383,16.0788674639132,7.34045817011377,3.00096363395568,1.54307708455421,6.81,5.21808948733845,0.123487383102938,0.704011430664572
andesite,58.2042367866924,16.0872950153805,7.40593100207589,3.04311298185088,1.50865136614134,6.82,5.19972844879393,0.125205883045746,0.716667280717066
andesite,58.3699850758486,15.7772898047602,7.42298093491078,3.12885982467651,1.43523478823311,6.59,5.60618426830729,0.115358730063999,0.676012440959678
andesite,58.3048174521927,15.8146318477274,7.3677092612054,3.16912329165353,1.44587126538994,6.59,5.6239787846075,0.118428500039637,0.684723630066717
andesite,58.3520583670344,15.9488753589254,7.35185135661161,3.02454113515007,1.5183471653934,6.85,5.21994114564917,0.124572731477767,0.711689947910631
andesite,58.3746574041738,15.9256866803249,7.3634867282843,2.99996660545675,1.55509938698884,6.82,5.2430137006143,0.123076997355796,0.703608944265714
andesite,60.134874051941,15.8681405378022,6.55253791832777,3.14383110230567,1.92713517978636,6.17,4.53612264225524,0.1120488400646,0.71440210771209
andesite,59.8289494531526,15.9544259885893,6.6667850699126,3.14430857170265,1.85765662115467,6.27,4.59970521605432,0.114078517206049,0.719821496069163
andesite,59.8513385101332,15.7010647303645,6.695625713994,3.06369248554727,1.83981331041585,6.34,4.84088937625162,0.114520417113185,0.704467381578492
andesite,59.4037933187966,15.7511456137986,6.80478865512393,3.04117253920327,1.79073491468194,6.59,4.91248162931919,0.119041911135811,0.706501630330387
andesite,64.2733535294226,15.3261055232456,5.07079447100713,3.69867672920447,2.07689793204898,4.67,3.48184443260661,0.0810638644233447,0.641429612703897
andesite,65.0943056922351,16.1612022718466,4.53513849945228,3.70165666148441,2.0555310474931,3.99,3.17948591861106,0.0687219166221491,0.625538096467933
andesite,65.6129550447142,14.8799249885948,4.49750077110739,3.68527766023041,2.06482587989586,4.52,3.42809169515584,0.0792581271115353,0.61800716216361
andesite,60.3552028172398,16.9426038888738,6.23322722662527,3.38344504912566,1.9441062684848,5.9,3.50345507233715,0.1079068250115,0.79722804699768
andesite,60.7276204248414,16.8671305435822,6.10275399837001,3.41103586165322,2.0274921603084,5.84,3.22970633342449,0.10266554007136,0.856487991885798
andesite,60.4024965125188,16.7704750710598,6.18807693171524,3.35727529765247,1.93276585337855,5.97,3.62265827175652,0.106608371452314,0.803625483193959
andesite,61.4795208055537,16.4567914234156,5.76110663370995,3.54701777902962,2.11472141985807,5.66,3.26517303785304,0.0989849039213242,0.804522884307153
andesite,61.0243320237491,16.4170584064455,5.95630177462536,3.52226166955583,2.035280551287,5.81,3.53594795979905,0.10072948128859,0.785578929572631
andesite,63.0874434785953,16.4920298584068,4.96226430591785,3.88678750876707,2.26195801704953,5.01,2.67758854560968,0.0907006901265763,0.770299776047926
andesite,62.4644816985469,17.0030609140948,5.15224820860605,3.56229381853341,2.55678368952644,5.16,2.43781923145555,0.0879815065533225,0.809828860251574
andesite,62.5092349706653,16.7850050666287,5.33407290025389,3.56456071039363,2.53107681137622,5.14,2.47833851903129,0.0895527509852558,0.806948049270168
andesite,63.8317371880909,16.8913173633063,4.67706619980238,3.62915359663551,2.87717726669521,4.44,2.05796561970232,0.0843442589462566,0.812029119499805
andesite,63.4857664115738,16.7382175849998,4.86677004760975,3.63503006627223,2.68359949550744,4.74,2.20965450064681,0.084440846194846,0.832237714611264
andesite,63.6487147918289,16.2074725495615,4.79053242543783,3.60628156486344,2.8835096359205,5.02,2.16938114022965,0.0892183220683937,0.817899947234855
andesite,63.614234812538,16.3660020188054,4.78051829766587,3.6254421585605,2.84867407296139,4.98,2.11940493241471,0.0883340085732589,0.815608995097688
andesite,64.3147030796699,16.1909894127927,4.46889701896226,3.67383451948585,3.03355339170043,4.77,1.93792131494421,0.0898408209599917,0.772534164190182
andesite,63.4102376838371,16.4434060479576,4.76725959656906,3.58092620559928,2.82623135430736,5.04,2.24987696835517,0.0873514601971973,0.823979502383851
andesite,63.574946023082,15.8394931468367,4.87059113095443,3.50183864375315,2.78239776358502,4.95,2.79766030646945,0.0833608320519031,0.846729281299122
andesite,63.5467322946473,15.8564655142574,4.86696598446436,3.49589596029332,2.78019606322415,4.94,2.85831473759058,0.083968043382051,0.826697443243813
andesite,64.3810834882004,15.5385818925519,4.72388184487558,3.75747507272576,2.42043047952911,4.5,3.37062748932949,0.0863851939067744,0.574383299290492
andesite,64.1599305303291,15.1337536285928,4.8328295630258,3.32476347843418,3.0224510642265,4.69,3.29820201818877,0.0807291582950516,0.750110103481199
andesite,63.7265445678134,15.301981483171,5.00633292389354,3.37926792648451,2.93472466331985,4.73,3.39750441109447,0.0833480856524684,0.743768630467194
andesite,63.8417438743216,15.1455277985138,5.14721039776185,3.34836248218564,2.8871659366551,4.65,3.52404829170078,0.0835888048123741,0.688883590889271
andesite,64.4421829954218,15.0498085427467,4.85485257821553,3.35751037640402,3.0132600353999,4.55,3.28170496646668,0.079382271072371,0.704661682038486
andesite,64.2342108809556,15.0706075655229,4.97413938947609,3.34240524837782,2.93104260725298,4.56,3.42604441660029,0.0818983529987093,0.723298720790946
andesite,64.904128179399,15.0898387175944,4.58456483201862,3.39299178339249,3.18225563619363,4.4,3.00422981073076,0.0775411655174467,0.706792400905428
andesite,63.8666679900454,15.092412438196,5.08495239195189,3.33724030823094,2.91336812014755,4.7,3.52583180117157,0.0849168010848497,0.711125574704779
andesite,63.7385186926837,15.3167119525966,4.96067506796902,3.30437160355525,2.89499268149413,4.78,3.47267918302363,0.0828848876063671,0.737447799472939
andesite,65.0297859377155,15.2655301409814,4.44890575282533,3.41892976643377,3.2714523931061,4.26,2.8637860051908,0.0730050428777362,0.708051096742562
andesite,63.7435482941284,15.071081023546,5.16403194018343,3.26054956990958,2.86139217890467,4.76,3.64692017861137,0.0829142914968797,0.711934073747967
andesite,60.4484915992979,15.1410677111148,6.13528517936238,3.17657937489657,2.06565928106344,5.83,5.49356090357045,0.10485743317725,0.779337097255671
andesite,58.0854422368035,14.8113057405789,7.46285018380752,3.03545397926502,1.44094548508144,6.29,7.25803910657434,0.114304029390682,0.657547644546782
andesite,59.6986361033108,14.7832134957225,6.58023699939713,3.13672421397739,1.80599059756541,5.94,6.4127634818694,0.106172079968831,0.721115943428621
andesite,60.6311437649961,15.1314262497036,6.11443974471573,3.28719197894735,2.10840210691933,5.75,5.28921723442176,0.100718079051537,0.774989557497112
andesite,60.4640794772702,15.3591325878236,6.11521468092203,3.19581402922488,2.07940584138404,5.78,5.30467921298358,0.102976543704851,0.783618507165985
andesite,61.1054495452372,15.9792635862231,6.46769610618633,3.4607339151243,1.66713983564953,5.34,4.59094374588063,0.0931388762310068,0.573959315209026
andesite,61.8259502571521,14.8871644969463,5.75492205078753,3.27955239472838,2.28539858566377,5.4,4.94842896174864,0.0957087753134041,0.751888460302154
andesite,60.4931670704467,15.0374306166565,6.220443144555,3.19963132645735,2.11565968759652,5.68,5.59731343400365,0.100183464040637,0.759075069986481
andesite,61.8628786728891,14.933792226128,5.72831964445044,3.30810989012754,2.27646443741462,5.36,4.9362095647907,0.0921760946890025,0.738322286657816
andesite,58.6063068123942,14.6097802287573,7.15405771478653,3.04046973821293,1.62710999454379,6.35,6.93648509224623,0.115951997466544,0.708449861880264
andesite,59.5318400775482,14.7715724312869,6.67205351725037,3.15071749829298,1.85029216113224,6.12,6.17933571710973,0.111207559673672,0.767771231077387
andesite,59.9193933452072,14.7833534604518,6.56181129238542,3.18825978870232,1.91502168298777,6.01,5.93325210352933,0.10671680713572,0.751155280568424
andesite,62.0204800092203,14.8161017149246,5.70127503824795,3.26040978427078,2.31080422934441,5.36,4.9272818806584,0.0947444540978627,0.743448826189248
andesite,61.7219041647901,14.9946867681337,5.73892504187778,3.2735431474822,2.24664738544568,5.43,4.98618781330263,0.0950025400159543,0.745383622996558
andesite,61.832006473039,14.93438285817,5.75290440014008,3.27876149614105,2.27899746317929,5.37,4.94166392672158,0.0943768124524177,0.747922484777925
andesite,61.7671393898977,14.8307762781802,5.74185191656901,3.26691816408223,2.26742433836649,5.44,5.08298372707788,0.0969966992467101,0.732640185829685
andesite,61.9626633942513,14.9900713131039,5.68992491257822,3.27995862318591,2.27518214148728,5.34,4.86744316189764,0.0940263380263433,0.733540090119376
andesite,61.2447599583952,14.7221344465349,5.95433983863852,3.17485801621828,2.22334508331234,5.52,5.55637961763408,0.0971814573012039,0.729426811686013
andesite,59.6794467847009,14.9113037381823,6.55383070954502,3.15270958694961,1.82932622584722,5.89,6.34471755778954,0.104501395609316,0.723924990551633
andesite,60.1728451582071,15.1125862920617,6.36072390957756,3.21173130288463,1.89881691023216,5.71,5.93009690412796,0.0998959876952238,0.717835499921689
andesite,59.184947591214,14.8061077228716,6.96510593403432,3.16225068798552,1.6830655905336,6.15,6.39439640853826,0.108938741439832,0.712847408333953
