Nombre,SiO2,Al2O3,FeOT,CaO,MgO,Na2O,K2O,MnO,TiO
Peridotita,45.16,1.56,8.79,0.97,44.47,0.1,0.02,0.13,0.1
Peridotita,45.97,2.94,8.9,2.83,39.89,0.17,0.04,0.13,0.19
Peridotita,46.91,3.62,8.23,2.73,39.55,0.14,0.01,0.13,0.11
Peridotita,44.96,2.01,9.04,1.1,43.39,0.1,0.02,0.13,0.11
Peridotita,45.24,0.73,7.92,0.42,46.79,0.01,0.01,0.11,0.03
Peridotita,44.17,1.44,9.06,0.86,45.42,0.05,0.02,0.13,0.08
Peridotita,45.51,3.34,8.95,2.74,40.52,0.12,0.01,0.13,0.07
Peridotita,45.51,1.84,8.64,1.34,44.24,0.09,0.02,0.12,0.05
Peridotita,45.51,2.53,8.8,1.93,42.17,0.11,0.02,0.13,0.1
Peridotita,41.0,3.74,10.62,0.11,34.7,0.0,0.0,0.08,0.21
Peridotita,40.8,4.89,11.11,1.95,31.7,0.0,0.0,0.08,0.31
Peridotita,41.8,5.1,11.72,2.1,29.7,0.0,0.0,0.08,0.34
Peridotita,43.9,4.99,13.43,1.16,31.7,0.0,0.0,0.07,0.31
Peridotita,41.7,5.48,11.72,2.3,30.6,0.0,0.0,0.07,0.35
Peridotita,44.6,1.09,6.8,0.87,43.75,0.11,0.18,0.11,0.13
Peridotita,43.45,1.04,7.27,1.06,43.32,0.1,0.03,0.11,0.05
Peridotita,43.0,1.77,8.38,2.74,40.6,1.08,0.13,0.15,0.07
Peridotita,43.0,2.13,8.21,2.69,40.4,1.21,0.12,0.16,0.06
Peridotita,44.9,2.4,7.7,2.63,38.9,1.1,0.31,0.16,0.07
Peridotita,44.9,2.02,7.45,2.89,39.4,1.21,0.1,0.13,0.04
Peridotita,44.0,2.04,7.6,2.18,41.1,0.69,0.06,0.13,0.06
Peridotita,44.59,2.17,6.36,2.05,41.22,0.11,0.01,0.15,0.05
Peridotita,44.41,3.83,6.19,3.46,38.01,0.16,0.07,0.14,0.16
Peridotita,44.14,3.92,6.31,3.31,38.15,0.33,0.05,0.19,0.16
Peridotita,44.53,3.13,5.96,2.94,39.42,0.23,0.01,0.14,0.12
Peridotita,44.76,1.4,6.26,1.3,43.01,0.07,0.01,0.12,0.05
Peridotita,42.9,1.64,8.32,1.31,43.2,0.37,0.09,0.15,0.05
Peridotita,44.2,0.97,6.95,0.49,45.4,0.19,0.02,0.12,0.02
Peridotita,43.9,1.43,6.99,0.68,45.1,0.17,0.02,0.12,0.03
Peridotita,42.9,1.66,8.36,1.06,43.6,0.38,0.04,0.13,0.06
Peridotita,42.6,1.57,7.67,1.3,43.4,1.28,0.02,0.13,0.02
Peridotita,43.5,1.24,7.07,0.6,45.8,0.16,0.01,0.12,0.02
Peridotita,33.66,5.77,10.31,14.5,22.74,0.43,2.74,0.21,1.9
Peridotita,34.6,30.89,20.05,1.43,4.38,1.25,1.03,0.48,1.98
Peridotita,40.84,0.55,7.5,0.28,47.98,0.0,0.13,0.13,0.11
Peridotita,42.83,0.34,6.4,0.18,47.38,0.0,0.05,0.11,0.05
Peridotita,41.57,0.42,8.31,0.38,47.15,0.0,0.06,0.13,0.1
Peridotita,42.23,0.82,8.51,0.46,45.76,0.0,0.25,0.15,0.08
Peridotita,43.09,0.67,7.44,0.39,45.93,0.0,0.06,0.13,0.07
Peridotita,42.48,0.54,7.22,0.41,47.34,0.0,0.06,0.13,0.03
Peridotita,41.97,0.45,7.07,0.18,47.01,0.0,0.06,0.13,0.13
Peridotita,43.51,0.6,6.61,0.26,46.77,0.0,0.1,0.12,0.09
Peridotita,42.0,0.6,7.31,0.69,46.54,0.0,0.14,0.13,0.33
